Rank,Movie Name,Release Date,Lifetime Earnings
1,Avatar,2009,"$2,847,397,339"
2,Avengers: Endgame,2019,"$2,797,501,328"
3,Titanic,1997,"$2,201,647,264"
4,Star Wars: Episode VII - The Force Awakens,2015,"$2,069,521,700"
5,Avengers: Infinity War,2018,"$2,048,359,754"
6,Spider-Man: No Way Home,2021,"$1,892,761,122"
7,Jurassic World,2015,"$1,671,537,444"
8,The Lion King,2019,"$1,662,899,439"
9,The Avengers,2012,"$1,518,815,515"
10,Furious 7,2015,"$1,515,341,399"
11,Frozen II,2019,"$1,450,026,933"
12,Avengers: Age of Ultron,2015,"$1,402,809,540"
13,Black Panther,2018,"$1,347,597,973"
14,Harry Potter and the Deathly Hallows: Part 2,2011,"$1,342,359,942"
15,Star Wars: Episode VIII - The Last Jedi,2017,"$1,332,698,830"
16,Jurassic World: Fallen Kingdom,2018,"$1,310,466,296"
17,Frozen,2013,"$1,281,508,100"
18,Beauty and the Beast,2017,"$1,273,576,220"
19,Incredibles 2,2018,"$1,243,089,244"
20,The Fate of the Furious,2017,"$1,236,005,118"
21,Iron Man 3,2013,"$1,214,811,252"
22,Minions,2015,"$1,159,444,662"
23,Captain America: Civil War,2016,"$1,153,337,496"
24,Aquaman,2018,"$1,148,528,393"
25,The Lord of the Rings: The Return of the King,2003,"$1,146,436,214"
26,Spider-Man: Far from Home,2019,"$1,131,927,996"
27,Captain Marvel,2019,"$1,128,462,972"
28,Transformers: Dark of the Moon,2011,"$1,123,794,079"
29,Skyfall,2012,"$1,108,569,499"
30,Transformers: Age of Extinction,2014,"$1,104,054,072"
31,Jurassic Park,1993,"$1,099,699,003"
32,The Dark Knight Rises,2012,"$1,081,153,097"
33,Joker,2019,"$1,074,445,730"
34,Star Wars: Episode IX - The Rise of Skywalker,2019,"$1,074,149,279"
35,Toy Story 4,2019,"$1,073,394,593"
36,Toy Story 3,2010,"$1,066,970,811"
37,Pirates of the Caribbean: Dead Man's Chest,2006,"$1,066,179,747"
38,The Lion King,1994,"$1,063,611,805"
39,Rogue One: A Star Wars Story,2016,"$1,056,057,720"
40,Aladdin,2019,"$1,050,693,953"
41,Pirates of the Caribbean: On Stranger Tides,2011,"$1,045,713,802"
42,Despicable Me 3,2017,"$1,034,800,131"
43,Finding Dory,2016,"$1,028,570,942"
44,Star Wars: Episode I - The Phantom Menace,1999,"$1,027,082,707"
45,Alice in Wonderland,2010,"$1,025,468,216"
46,Zootopia,2016,"$1,024,121,104"
47,Harry Potter and the Sorcerer's Stone,2001,"$1,017,879,803"
48,The Hobbit: An Unexpected Journey,2012,"$1,017,030,651"
49,The Dark Knight,2008,"$1,006,102,277"
50,Harry Potter and the Deathly Hallows: Part 1,2010,"$977,070,383"
51,Despicable Me 2,2013,"$970,766,005"
52,The Jungle Book,2016,"$966,554,929"
53,Jumanji: Welcome to the Jungle,2017,"$962,542,945"
54,The Hobbit: The Battle of the Five Armies,2014,"$962,201,338"
55,Pirates of the Caribbean: At World's End,2007,"$960,996,492"
56,The Hobbit: The Desolation of Smaug,2013,"$959,027,992"
57,The Lord of the Rings: The Two Towers,2002,"$947,896,241"
58,Harry Potter and the Order of the Phoenix,2007,"$942,201,710"
59,Finding Nemo,2003,"$940,352,645"
60,Harry Potter and the Half-Blood Prince,2009,"$934,483,039"
61,Shrek 2,2004,"$928,760,770"
62,Bohemian Rhapsody,2018,"$910,809,311"
63,Doctor Strange in the Multiverse of Madness,2022,"$909,411,116"
64,The Battle at Lake Changjin,2021,"$902,540,935"
65,The Lord of the Rings: The Fellowship of the Ring,2001,"$898,094,742"
66,Harry Potter and the Goblet of Fire,2005,"$896,730,264"
67,Spider-Man 3,2007,"$894,983,373"
68,Ice Age 3: Dawn of the Dinosaurs,2009,"$886,686,817"
69,Spectre,2015,"$880,681,519"
70,Spider-Man: Homecoming,2017,"$880,166,924"
